skill,industry,geography,period,metric,value,unit,evidence_type,source,source_tier,source_title,source_url
Learning Agility,general,Global,2024-12,labor_force_advanced_education,80.0841388060593,percent,observed,World Bank,1,World Bank Open Data — labor_force_advanced_education (SL.TLF.ADVN.ZS),https://data.worldbank.org/indicator/SL.TLF.ADVN.ZS
Analytical Thinking,general,Global,2023-12,research_output,30626.16,count,observed,World Bank,1,World Bank Open Data — research_output (IP.JRN.ARTC.SC),https://data.worldbank.org/indicator/IP.JRN.ARTC.SC
Digital Literacy,general,Global,2025-12,internet_users,30.4,percent,observed,World Bank,1,World Bank Open Data — internet_users (IT.NET.USER.ZS),https://data.worldbank.org/indicator/IT.NET.USER.ZS
Digital Literacy,general,Global,2025-12,mobile_subscriptions,93.1,per100,observed,World Bank,1,World Bank Open Data — mobile_subscriptions (IT.CEL.SETS.P2),https://data.worldbank.org/indicator/IT.CEL.SETS.P2
Communication,general,Global,2025-12,services_employment_share,34.6968384349829,percent,observed,World Bank,1,World Bank Open Data — services_employment_share (SL.SRV.EMPL.ZS),https://data.worldbank.org/indicator/SL.SRV.EMPL.ZS
Adaptability,general,Global,2024-12,high_tech_exports,5.80004415840251,percent,observed,World Bank,1,World Bank Open Data — high_tech_exports (TX.VAL.TECH.MF.ZS),https://data.worldbank.org/indicator/TX.VAL.TECH.MF.ZS
Resilience,general,Global,2025-12,unemployment_rate,7.53923324035891,percent,observed,World Bank,1,World Bank Open Data — unemployment_rate (SL.UEM.TOTL.ZS),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS
Adaptability,general,Global,2025-12,labor_force_participation,68.8697192431851,percent,observed,World Bank,1,World Bank Open Data — labor_force_participation (SL.TLF.CACT.ZS),https://data.worldbank.org/indicator/SL.TLF.CACT.ZS
Adaptability,general,United States,2026-08,employment_level,159075.0,thousands,observed,U.S. Bureau of Labor Statistics,1,BLS Employment Data (CES0000000001),https://data.bls.gov/timeseries/CES0000000001
Teamwork,general,United States,2026-07,mention_frequency,1.0,mention,qualitative,Bing,4,"Blind spots in human-AI teamwork pose serious risks, warns Talogy's Chief Scientist",https://finance.yahoo.com/technology/ai/articles/blind-spots-human-ai-teamwork-110400634.html
Teamwork,general,Global,2026-05,mention_frequency,1.0,mention,qualitative,Bing,4,Will AI destroy teamwork?,https://www.msn.com/en-us/lifestyle/career/will-ai-destroy-teamwork/ar-AA22BED9
AI Literacy,education,United States,2026-09,mention_frequency,1.0,mention,qualitative,Bing,4,Missouri education agencies partner with Google to provide free AI training,https://www.dailyjournalonline.com/news/mdhewd-launches-nations-first-usdol-aligned-ai-literacy-course-collection-in-partnership-with-coursera-55d9ae47
AI Literacy,technology,United States,2026-08,mention_frequency,1.0,mention,qualitative,Bing,4,Codio Launches AI Literacy Offering as Higher Education Prepares Students for a Workforce Being Reshaped by AI,https://finance.yahoo.com/technology/ai/articles/codio-launches-ai-literacy-offering-130000212.html
Digital Literacy,technology,United States,2026-08,mention_frequency,1.0,mention,qualitative,Bing,4,Codio Launches AI Literacy Offering as Higher Education Prepares Students for a Workforce Being Reshaped by AI,https://finance.yahoo.com/technology/ai/articles/codio-launches-ai-literacy-offering-130000212.html
Responsible AI Use,technology,United States,2026-08,mention_frequency,1.0,mention,qualitative,Bing,4,Codio Launches AI Literacy Offering as Higher Education Prepares Students for a Workforce Being Reshaped by AI,https://finance.yahoo.com/technology/ai/articles/codio-launches-ai-literacy-offering-130000212.html
Responsible AI Use,technology,United States,2026-09,mention_frequency,1.0,mention,qualitative,Bing,4,"FG, Winbox seek responsible AI use",https://www.msn.com/en-xl/money/general/fg-winbox-seek-responsible-ai-use/ar-AA2ciOeA
